Ranking,Rating,Titles
1,95%,One Night in Miami (2020)
2,93%,Portrait of a Lady on Fire (Portrait de la jeune fille en feu) (2020)
3,88%,Minari (2020)
4,95%,Ma Rainey's Black Bottom (2020)
5,88%,Soul (2020)
6,92%,1917 (2020)
7,29%,The Invisible Man (2020)
8,100%,Never Rarely Sometimes Always (2020)
9,100%,Sound of Metal (2020)
10,98%,Promising Young Woman (2020)
11,100%,Wolfwalkers (2020)
12,83%,Hamilton (2020)
13,86%,Palm Springs (2020)
14,98%,Da 5 Bloods (2020)
15, 98%,First Cow (2020)
16, 98%,His House (2020)
17, 98%,Miss Juneteenth (2020)
18, 98%,Collective (Colectiv) (2020)
19, 95%,76 Days (2020)
20, 89%,Crip Camp: A Disability Revolution (2020)
21, 91%,David Byrne's American Utopia (2020)
22, 99%,The Trial of the Chicago 7 (2020)
23, 97%,Dick Johnson Is Dead (2020)
24, 90%,Host (2020)
25, 99%,Possessor: Uncut (2020)
26, 97%,The Forty-Year-Old Version (2020)
27, 95%,Totally Under Control (2020)
28, 92%,Saint Frances (2020)
29, 96%,Time (2020)
30, 100%,Onward (2020)
31, 99%,Blow the Man Down (2020)
32, 99%,The Personal History of David Copperfield (2020)
33, 100%,The Vast of Night (2020)
34, 100%,Welcome to Chechnya (2020)
35, 98%,All In: The Fight for Democracy (2020)
36, 89%,Mucho Mucho Amor: The Legend of Walter Mercado (2020)
37, 100%,Relic (2020)
38, 100%,The Assistant (2020)
39, 94%,Athlete A (2020)
40, 98%,Corpus Christi (Boze cialo) (2020)
41, 99%,Another Round (Druk) (2020)
42, 99%,Driveways (2020)
43, 98%,On the Record (2020)
44, 88%,Extra Ordinary (2020)
45, 98%,The Truffle Hunters (2020)
46, 92%,Slay the Dragon (2020)
47, 92%,Night of the Kings (La Nuit des Rois) (2020)
48, 100%,Flee (2020)
49, 100%,The Dissident (2020)
50, 100%,House of Hummingbird (Beolsae) (2020)
51, 92%,The Fight (2020)
52, 92%,A Secret Love (2020)
53, 100%,Rewind (2020)
54, 98%,Coded Bias (2020)
55, 93%,Coup 53 (2020)
56, 99%,Mayor (2020)
57, 99%,Mystify: Michael Hutchence (2020)
58, 98%,The Half of It (2020)
59, 97%,Saint Maud (2020)
60, 100%,The Painter and the Thief (2020)
61, 98%,City Hall (2020)
62, 100%,Anything for Jackson (2020)
63, 98%,Beats (2020)
64, 100%,Vitalina Varela (2020)
65, 99%,Circus of Books (2020)
66, 100%,Boys State (2020)
67, 100%,Bacurau (Nighthawk) (2020)
68, 100%,Disclosure (2020)
69, 100%,"Why Don't You Just Die! (Papa, sdokhni) (2020)"
70, 100%,Enola Holmes (2020)
71, 100%,Apples (Mila) (2020)
72, 97%,The Swerve (2020)
73, 93%,Farewell Amor (2020)
74, 96%,La Llorona (2020)
75, 98%,News of the World (2020)
76, 98%,Fourteen (2020)
77, 98%,Slaxx (2020)
78, 98%,The Go-Go's (2020)
79, 98%,Make Up (2020)
80, 94%,Fireball: Visitors from Darker Worlds (2020)
81, 93%,The Last Tree (2020)
82, 98%,Rocks (2020)
83, 97%,Sweat (2020)
84, 91%,Gunda (2020)
85, 98%,Assassins (2020)
86, 98%,There Is No Evil (Sheytan vojud nadarad) (2020)
87, 97%,Babyteeth (2020)
88, 96%,Shithouse (2020)
89, 88%,Spontaneous (2020)
90, 98%,The Human Voice (La Voz Humana) (2020)
91, 97%,A Shaun the Sheep Movie: Farmageddon (2020)
92, 98%,Kajillionaire (2020)
93, 98%,Zappa (2020)
94, 98%,Borat: Subsequent Moviefilm (2020)
95, 98%,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn) (2020)
96, 97%,The White Tiger (2020)
97, 98%,"Yes, God, Yes (2020)"
98, 96%,Feels Good Man (2020)
99, 98%,Emma. (2020)
100, 98%,Sylvie's Love (2020)
